,location,date,tweet_count,article_count
737,IUB,01/29/2021,0,0
738,IUB,11/03/2020,0,0
739,IUB,09/17/2020,0,0
740,IUB,08/24/2020,0,0
741,IUB,07/18/2020,0,0
742,IUB,06/23/2020,0,0
743,IUB,02/05/2020,0,0
744,IUB,10/08/2019,0,0
745,IUB,08/07/2019,0,0
746,IUB,06/23/2019,0,0
747,IUB,04/06/2019,0,0
748,IUB,03/31/2019,0,0
749,IUB,12/18/2018,0,0
750,IUB,10/30/2018,0,0
751,IUB,10/11/2018,0,1
752,IUB,09/16/2018,0,0
753,IUB,09/11/2018,0,0
754,IUB,04/16/2018,0,0
755,IUB,03/23/2018,0,0
756,IUB,02/21/2018,0,0
757,IUB,11/15/2017,0,0
758,IUB,11/14/2017,0,2
759,IUB,09/08/2017,0,0
760,IUB,06/27/2017,0,0
761,IUB,05/27/2017,0,0
762,IUB,04/26/2017,0,0
763,IUB,04/05/2017,0,0
764,IUB,03/26/2017,0,0
765,IUB,11/10/2016,0,2
766,IUB,11/03/2016,0,0
767,IUB,10/19/2016,0,4
768,IUB,10/13/2016,0,3
769,IUB,10/10/2016,0,3
770,IUB,02/29/2016,0,0
771,IUB,02/16/2016,0,0
772,IUB,12/19/2015,0,0
773,IUB,12/05/2015,0,0
774,IUB,12/02/2015,0,0
775,IUB,11/07/2015,0,0
776,IUB,10/09/2015,0,0
777,IUB,09/21/2015,0,0
778,IUB,07/15/2015,0,0
779,IUB,06/05/2015,0,0
780,IUB,05/22/2015,0,0
781,IUB,04/22/2015,0,0
782,IUB,03/11/2015,0,0
783,IUB,02/04/2015,0,0
784,IUB,10/10/2014,0,0
785,IUB,09/26/2014,0,0
786,IUB,06/19/2014,0,0
787,IUB,06/09/2014,0,0
788,IUB,06/08/2014,0,0
789,IUB,04/09/2014,0,0
790,IUB,04/01/2014,0,0
791,IUB,03/28/2014,0,0
792,IUB,03/12/2014,0,0
793,IUB,02/28/2014,0,0
794,IUB,02/05/2014,0,0
795,IUB,01/22/2014,0,0
796,IUB,01/16/2014,0,0
797,IUB,01/15/2014,0,0
798,IUB,01/09/2014,0,0
799,IUB,12/21/2013,0,0
800,IUB,12/18/2013,0,0
801,IUB,12/13/2013,0,1
802,IUB,12/12/2013,0,1
803,IUB,12/05/2013,0,0
804,IUB,10/22/2013,0,1
805,IUB,10/15/2013,0,0
806,IUB,10/12/2013,0,0
807,IUB,09/22/2013,0,0
808,IUB,07/01/2013,0,0
809,IUB,05/07/2013,0,0
810,IUB,03/21/2013,0,0
811,IUB,03/06/2013,0,0
812,IUB,02/26/2013,0,0
813,IUB,02/02/2013,0,0
814,IUB,01/24/2013,0,0
815,IUB,01/10/2013,0,0
816,IUB,12/30/2012,0,0
817,IUB,10/16/2012,0,2
818,IUB,10/10/2012,0,0
